Date,Open,High,Low,Close,Adj Close,Volume
2019-03-12,5.600000,5.800000,5.600000,5.600000,5.600000,167230
2019-03-13,5.700000,5.800000,5.500000,5.800000,5.800000,191210
2019-03-14,5.800000,6.100000,5.700000,6.000000,6.000000,221100
2019-03-15,6.100000,6.400000,5.900000,5.900000,5.900000,350580
2019-03-18,6.000000,6.200000,5.700000,6.100000,6.100000,174590
2019-03-19,6.200000,6.300000,6.000000,6.100000,6.100000,245230
2019-03-20,6.100000,6.300000,6.000000,6.200000,6.200000,144470
2019-03-21,6.200000,6.300000,6.100000,6.200000,6.200000,140580
2019-03-22,6.200000,6.200000,5.700000,5.800000,5.800000,207430
2019-03-25,6.100000,6.100000,5.500000,5.700000,5.700000,147570
2019-03-26,5.800000,5.900000,5.700000,5.700000,5.700000,87170
2019-03-27,6.400000,10.200000,6.100000,8.300000,8.300000,3345590
2019-03-28,7.600000,7.700000,6.600000,6.900000,6.900000,1743000
2019-03-29,7.000000,8.800000,7.000000,8.200000,8.200000,1554620
2019-04-01,8.000000,11.500000,7.700000,11.100000,11.100000,3465470
2019-04-02,12.500000,18.500000,11.600000,15.800000,15.800000,7300840
2019-04-03,13.500000,15.700000,12.300000,13.100000,13.100000,3439470
2019-04-04,9.400000,10.000000,9.100000,9.300000,9.300000,2807810
2019-04-05,9.700000,11.400000,9.400000,10.800000,10.800000,1863160
2019-04-08,10.800000,12.300000,10.700000,11.000000,11.000000,1499390
2019-04-09,11.500000,11.500000,10.000000,10.300000,10.300000,1249370
2019-04-10,10.000000,10.300000,9.000000,10.100000,10.100000,932360
2019-04-11,10.000000,10.200000,9.700000,10.000000,10.000000,427100
2019-04-12,10.000000,10.400000,9.900000,10.200000,10.200000,479600
2019-04-15,10.200000,10.300000,10.000000,10.000000,10.000000,294810
2019-04-16,10.000000,10.000000,9.800000,9.800000,9.800000,331430
2019-04-17,9.900000,11.200000,9.800000,11.000000,11.000000,837690
2019-04-18,10.500000,11.100000,10.000000,10.100000,10.100000,436960
2019-04-22,9.800000,9.900000,8.900000,9.400000,9.400000,487490
2019-04-23,9.300000,9.700000,9.000000,9.200000,9.200000,424720
2019-04-24,9.400000,9.400000,9.000000,9.200000,9.200000,242990
2019-04-25,9.200000,9.200000,8.800000,9.000000,9.000000,225150
2019-04-26,9.000000,9.000000,8.700000,9.000000,9.000000,211730
2019-04-29,9.100000,9.600000,9.000000,9.500000,9.500000,251970
2019-04-30,9.500000,9.600000,9.000000,9.200000,9.200000,133650
2019-05-01,9.400000,9.400000,9.000000,9.100000,9.100000,143790
2019-05-02,9.200000,9.300000,9.000000,9.000000,9.000000,122210
2019-05-03,9.000000,9.500000,9.000000,9.400000,9.400000,119160
2019-05-06,9.200000,9.900000,9.100000,9.800000,9.800000,193320
2019-05-07,9.800000,9.900000,9.200000,9.400000,9.400000,162520
2019-05-08,9.500000,9.600000,9.100000,9.100000,9.100000,113580
2019-05-09,9.300000,9.500000,9.000000,9.000000,9.000000,151710
